Person Full Name (Letr.),My Title,Jud Experience Pending Status,Jud Experience Pend Sub Type,Jud Experience Active Date,Experience Status Effective Date,Experience Status,Experience Status Reason
Hon. Warren D. Allen (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Appointed,Reagan,06/28/1972,08/16/1988,Retired,Retirement
Hon. Warren D. Allen (Ret.),"Judge of the Los Angeles Municipal Court District, Los Angeles County",Appointed,Reagan,10/19/1971,06/28/1972,Promoted,Elevated
Hon. Gilbert C. Alston (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Appointed,"Brown, Jr.",03/12/1980,08/09/1991,Retired,Retirement
Hon. Gilbert C. Alston (Ret.),"Judge of the Los Angeles Municipal Court District, Los Angeles County",Appointed,Reagan,10/07/1971,06/01/1977,Promoted,Elevated
Hon. Gilbert C. Alston (Ret.),"Judge of the Pasadena Municipal Court, Los Angeles County",Appointed,"Brown, Jr.",06/01/1977,03/11/1980,Promoted,Elevated
Hon. Robert T. Altman (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Appointed,"Brown, Jr.",03/12/1980,03/13/2000,Retired,Retirement
Hon. Read Ambler (Ret.),"Judge of the Superior Court of California,
  County of Santa Clara",Appointed,"Brown, Jr.",03/07/1980,03/08/1999,Retired,Retirement
Hon. Richard Amerian (Ret.),"Associate Justice of the Court of Appeal
Second Appellate District, Division Four",Appointed,"Brown, Jr.",05/14/1982,04/03/1984,Retired,Retirement
Hon. Richard Amerian (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Appointed,"Brown, Jr.",08/08/1978,05/14/1982,Promoted,Elevated
Hon. Richard Amerian (Ret.),"Judge of the Los Angeles Municipal Court District, Los Angeles County",Appointed,Reagan,02/19/1970,08/08/1978,Promoted,Elevated
"Hon. Eugene Mac Amos, Jr. (Ret.)","Judge of the Superior Court of California,
  County of San Diego",Unification,,12/01/1998,11/30/2003,Retired,Retirement
"Hon. Eugene Mac Amos, Jr. (Ret.)","Judge of the San Diego Municipal Court, San Diego County",Appointed,"Brown, Jr.",08/06/1982,12/01/1998,Non-Voluntary,Unification-SCA4
Hon. Susan Elizabeth Isacoff (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Unification,,01/22/2000,07/01/2004,Retired,Retirement
Hon. Susan Elizabeth Isacoff (Ret.),"Judge of the Los Angeles Municipal Court District, Los Angeles County",Appointed,"Brown, Jr.",01/13/1981,01/22/2000,Non-Voluntary,Unification-SCA4
Hon. Carl West Anderson (Ret.),"Judge of the Superior Court of California,
  County of Alameda",Appointed,Reagan,01/04/1975,04/04/1984,Promoted,Elevated
Hon. Carl West Anderson (Ret.),"Associate Justice of the Court of Appeal
First Appellate District, Division Three",Appointed,Deukemejian,04/04/1984,12/06/1984,Promoted,Elevated
Hon. Carl West Anderson (Ret.),"Presiding Justice of the Court of Appeal
First Appellate District, Division Four",Appointed,Deukemejian,12/07/1984,09/15/1997,Retired,Retirement
Hon. Kenneth Andreen (Ret.),"Associate Justice of the Court of Appeal
Fifth Appellate District",Appointed,"Brown, Jr.",08/26/1980,01/08/1985,Retired,Retirement
Hon. Kenneth Andreen (Ret.),"Judge of the Superior Court of California,
  County of Fresno",Appointed,Brown,09/27/1963,08/26/1980,Promoted,Elevated
Hon. Kenneth Andreen (Ret.),"Judge of the Consolidated Fresno Municipal Court, Fresno County",Appointed,Brown,11/20/1959,09/27/1963,Promoted,Elevated
Hon. Lawrence G. Antolini (Ret.),"Judge of the Superior Court of California,
  County of Sonoma",Appointed,Deukemejian,03/08/1985,01/02/2011,Retired,Retirement
Hon. Lawrence G. Antolini (Ret.),"Judge of the Sonoma County Municipal Court District, Sonoma County",Elected,,01/05/1981,03/08/1985,Promoted,Elevated
Hon. John N. Anton (Ret.),"Judge of the Superior Court of California,
  County of Monterey",Appointed,"Brown, Jr.",02/10/1982,12/31/1994,Retired,Retirement
Hon. Armand Arabian (Ret.),Associate Justice,Appointed,Deukemejian,03/01/1990,02/29/1996,Retired,Retirement
Hon. Armand Arabian (Ret.),"Associate Justice of the Court of Appeal
Second Appellate District, Division Three",Appointed,Deukemejian,11/14/1983,03/01/1990,Promoted,Elevated
Hon. Armand Arabian (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Appointed,Reagan,07/03/1973,11/14/1983,Promoted,Elevated
Hon. Armand Arabian (Ret.),"Judge of the Los Angeles Municipal Court District, Los Angeles County",Appointed,Reagan,04/06/1972,07/03/1973,Promoted,Elevated
Hon. Benjamin J. Aranda III,"Judge of the South Bay Municipal Court, Los Angeles County",Appointed,"Brown, Jr.",04/12/1979,01/28/1998,Deceased,
"Hon. Raymond J. Arata, Jr. (Ret.)","Judge of the Superior Court of California,
  County of San Francisco",Appointed,"Brown, Jr.",11/14/1980,01/04/1998,Retired,Retirement
"Hon. Raymond J. Arata, Jr. (Ret.)","Judge of the San Francisco Municipal Court, San Francisco County",Appointed,Reagan,12/31/1974,11/14/1980,Promoted,Elevated
Hon. James A. Ardaiz (Ret.),"Administrative Presiding Justice of the Court of Appeal
Fifth Appellate District",Appointed,Chief Justice,01/08/1988,12/27/2010,Retired,Retirement
Hon. James A. Ardaiz (Ret.),"Judge of the Superior Court of California,
  County of Fresno",Appointed,Deukemejian,01/13/1985,01/08/1988,Promoted,Elevated
Hon. James A. Ardaiz (Ret.),"Judge of the Consolidated Fresno Municipal Court, Fresno County",Elected,,01/05/1981,01/13/1985,Promoted,Elevated
Hon. Phillip J. Argento (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Unification,,01/22/2000,07/30/2005,Retired,Retirement
Hon. Phillip J. Argento (Ret.),"Judge of the Pasadena Municipal Court, Los Angeles County",Appointed,"Brown, Jr.",02/11/1982,01/22/2000,Non-Voluntary,Unification-SCA4
Hon. John A. Arguelles (Ret.),Associate Justice,Appointed,Deukemejian,03/18/1987,03/01/1989,Retired,Retirement
Hon. John A. Arguelles (Ret.),"Associate Justice of the Court of Appeal
Second Appellate District, Division Four",Appointed,Deukemejian,05/14/1984,03/18/1987,Promoted,Elevated
Hon. John A. Arguelles (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Appointed,Reagan,09/19/1969,05/14/1984,Promoted,Elevated
Hon. John A. Arguelles (Ret.),"Judge of the East Los Angeles Municipal Court, Los Angeles County",Appointed,Brown,12/04/1963,09/19/1969,Promoted,Elevated
Hon. Richard E. Arnason (Ret.),"Judge of the Superior Court of California,
  County of Contra Costa",Appointed,Brown,10/31/1963,12/31/1994,Retired,Retirement
Hon. Courtland D. Arne (Ret.),"Judge of the Oakland-Piedmont-Emeryville Municipal Court, Alameda County",Appointed,Reagan,04/07/1971,04/07/1991,Retired,Deferred Retirement
Hon. Rafael A. Arreola (Ret.),"Judge of the Superior Court of California,
  County of San Diego",Unification,,12/01/1998,02/28/2007,Retired,Retirement
Hon. Rafael A. Arreola (Ret.),"Judge of the San Diego Municipal Court, San Diego County",Appointed,"Brown, Jr.",09/16/1981,12/01/1998,Non-Voluntary,Unification-SCA4
Hon. Herbert L. Ashby (Ret.),"Associate Justice of the Court of Appeal
Second Appellate District, Division Five",Appointed,Reagan,06/28/1972,08/18/1992,Retired,Retirement
Hon. Don Irwin Asher,"Judge of the Manteca-Ripon-Escalon-Tracy Municipal Court, San Joaquin County",Appointed,"Brown, Jr.",05/30/1980,04/20/1995,Deceased,
Hon. Judith Ashmann-Gerst,"Associate Justice of the Court of Appeal
Second Appellate District, Division Two",Appointed,Davis,12/07/2001,12/07/2001,Active Service,
Hon. Judith Ashmann-Gerst,"Judge of the Superior Court of California,
  County of Los Angeles",Elected,,08/25/1986,12/07/2001,Promoted,Elevated
Hon. Judith Ashmann-Gerst,"Judge of the Los Angeles Municipal Court District, Los Angeles County",Appointed,"Brown, Jr.",01/13/1981,08/25/1986,Promoted,Elevated
Hon. Ernest Louis Aubry,"Judge of the Los Angeles Municipal Court District, Los Angeles County",Appointed,"Brown, Jr.",05/11/1976,02/01/1997,Deceased,
Hon. Erich Auerbach (Ret.),"Judge of the Los Angeles Municipal Court District, Los Angeles County",Appointed,Brown,03/13/1964,08/08/1984,Retired,Retirement
Hon. Elvira S. Austin (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Unification,,01/22/2000,01/07/2002,Retired,Retirement
Hon. Elvira S. Austin (Ret.),"Judge of the Long Beach Municipal Court, Los Angeles County",Appointed,"Brown, Jr.",10/17/1980,01/22/2000,Non-Voluntary,Unification-SCA4
Hon. Eugene M. Azevedo,"Judge of the Superior Court of California,
  County of Stanislaus",Appointed,"Brown, Jr.",02/19/1982,10/19/1990,Deceased,
Hon. Eugene M. Azevedo,"Judge of the Stanislaus County Municipal Court, Stanislaus County",Appointed,"Brown, Jr.",12/21/1979,02/19/1982,Promoted,Elevated
Hon. Joseph G. Babich (Ret.),"Judge of the Superior Court of California,
  County of Sacramento",Appointed,Brown,02/26/1964,03/31/1984,Retired,Retirement
Hon. Joseph G. Babich (Ret.),"Judge of the Sacramento Superior and Municipal Courts, Sacramento County",Appointed,Knight,08/30/1957,02/26/1964,Promoted,Elevated
Hon. Robert T. Baca (Ret.),"Judge of the Superior Court of California,
  County of Kern",Appointed,"Brown, Jr.",04/20/1979,07/02/1992,Retired,Retirement
Hon. Robert T. Baca (Ret.),"Judge of the Bakersfield Municipal Court, Kern County",Appointed,"Brown, Jr.",07/02/1976,04/20/1979,Promoted,Elevated
"Hon. Dave Bach, Jr.","Judge of the North Orange County Municipal Court, Orange County",Appointed,Brown,12/15/1966,08/18/1986,Deceased,
Hon. Clifford B. Bachand (Ret.),"Judge of the Oakland-Piedmont-Emeryville Municipal Court, Alameda County",Appointed,"Brown, Jr.",03/09/1976,08/20/1989,Retired,Retirement
Hon. Richard A. Backus (Ret.),"Judge of the Superior Court of California,
  County of Sacramento",Appointed,"Brown, Jr.",01/27/1978,09/18/1993,Retired,Retirement
Hon. Frank Baffa (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Appointed,Reagan,11/28/1973,04/30/1991,Retired,Deferred Retirement
Hon. Frank Baffa (Ret.),"Judge of the Inglewood Municipal Court, Los Angeles County",Appointed,Reagan,03/24/1971,11/28/1973,Promoted,Elevated
"Hon. William R. Bailey, Jr. (Ret.)","Judge of the Superior Court of California,
  County of Riverside",Appointed,Deukemejian,03/28/1985,11/30/1998,Retired,Retirement
"Hon. William R. Bailey, Jr. (Ret.)","Judge of the Perris Justice Court District, Riverside County",Appointed,Board of Supv,12/01/1976,01/02/1977,Promoted,Elevated
"Hon. William R. Bailey, Jr. (Ret.)","Judge of the Three Lakes Municipal Court, Riverside County",Appointed,Unknown,01/02/1977,01/06/1985,Term Ended,
Hon. Robert A. Baines (Ret.),"Judge of the Superior Court of California,
  County of Santa Clara",Unification,,08/03/1998,09/30/2005,Retired,Retirement
Hon. Robert A. Baines (Ret.),"Judge of the Santa Clara County Municipal Court, Santa Clara County",Appointed,"Brown, Jr.",01/02/1983,08/03/1998,Non-Voluntary,Unification-SCA4
Hon. Arthur Baldonado (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Appointed,"Brown, Jr.",07/26/1977,09/03/1996,Retired,Retirement
Hon. Michael Ballachey (Ret.),"Judge of the Superior Court of California,
  County of Alameda",Appointed,"Brown, Jr.",03/30/1979,03/31/1999,Retired,Retirement
Hon. Jay R. Ballantyne (Ret.),"Associate Justice of the Court of Appeal
Fifth Appellate District",Appointed,Deukemejian,05/16/1986,08/31/1988,Retired,Deferred Retirement
Hon. Jay R. Ballantyne (Ret.),"Judge of the Superior Court of California,
  County of Tulare",Appointed,Brown,06/23/1966,05/16/1986,Promoted,Elevated
Hon. Richard A. Bancroft (Ret.),"Judge of the Superior Court of California,
  County of Alameda",Appointed,"Brown, Jr.",04/12/1976,08/29/1988,Retired,Retirement
Hon. Robert A. Banyard (Ret.),"Judge of the Superior Court of California,
  County of Orange",Appointed,Reagan,12/18/1969,01/02/1984,Retired,Retirement
Hon. James Barakatt (Ret.),"Judge of the Stanislaus County Municipal Court, Stanislaus County",Appointed,"Brown, Jr.",10/01/1982,01/31/1996,Retired,Retirement
Hon. Gordon S. Baranco (Ret.),"Judge of the Superior Court of California,
  County of Alameda",Appointed,Deukemejian,04/20/1984,12/31/2016,Retired,Retirement
Hon. Gordon S. Baranco (Ret.),"Judge of the Oakland-Piedmont-Emeryville Municipal Court, Alameda County",Appointed,"Brown, Jr.",10/06/1980,04/20/1984,Promoted,Elevated
Hon. Robert K. Barber (Ret.),"Judge of the Superior Court of California,
  County of Alameda",Appointed,Brown,07/26/1966,09/30/1983,Retired,Retirement
Hon. Robert K. Barber (Ret.),"Judge of the Oakland-Piedmont-Emeryville Municipal Court, Alameda County",Appointed,Brown,02/01/1963,07/26/1966,Promoted,Elevated
Hon. John H. Barnard (Ret.),"Judge of the Superior Court of California,
  County of Riverside",Appointed,"Brown, Jr.",11/13/1981,06/10/1991,Retired,Retirement
Hon. John H. Barnard (Ret.),"Judge of the Riverside Municipal Court District, Riverside County",Appointed,Reagan,06/10/1971,11/13/1981,Promoted,Elevated
Hon. Blair T. Barnette (Ret.),"Judge of the South Orange County Municipal Court, Orange County",Appointed,Reagan,07/05/1972,01/03/1995,Retired,Retirement
Hon. Victor T. Barrera (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Appointed,"Brown, Jr.",01/14/1981,03/02/1999,Retired,Retirement
Hon. Victor T. Barrera (Ret.),"Judge of the Los Angeles Municipal Court District, Los Angeles County",Appointed,"Brown, Jr.",02/08/1979,01/14/1981,Promoted,Elevated
Hon. George C. Barrett (Ret.),"Judge of the Superior Court of California,
  County of Merced",Appointed,Reagan,08/11/1972,03/31/1991,Retired,Deferred Retirement
Hon. Betty Barry-Deal (Ret.),"Judge of the Superior Court of California,
  County of Alameda",Appointed,"Brown, Jr.",03/18/1977,08/28/1980,Promoted,Elevated
Hon. Betty Barry-Deal (Ret.),"Associate Justice of the Court of Appeal
First Appellate District, Division Three",Appointed,"Brown, Jr.",08/28/1980,06/30/1990,Retired,Retirement
Hon. Richard Bartalini (Ret.),"Judge of the Superior Court of California,
  County of Alameda",Appointed,"Brown, Jr.",07/01/1977,05/06/1993,Retired,
Hon. Charles David Baxley,"Judge of the Citrus Municipal Court, Los Angeles County",Appointed,"Brown, Jr.",08/03/1982,12/19/1985,Deceased,
Hon. Alfonso M. Bazan (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Appointed,"Brown, Jr.",03/21/1980,11/03/1998,Retired,Retirement
Hon. Alfonso M. Bazan (Ret.),"Judge of the Citrus Municipal Court, Los Angeles County",Appointed,"Brown, Jr.",01/26/1976,03/21/1980,Promoted,Elevated
Hon. Edwin F. Beach (Ret.),"Associate Justice of the Court of Appeal
Second Appellate District, Division Two",Appointed,Reagan,09/17/1973,12/31/1986,Retired,Deferred Retirement
Hon. Edwin F. Beach (Ret.),"Judge of the Superior Court of California,
  County of Ventura",Appointed,Reagan,12/04/1968,09/17/1973,Promoted,Elevated
Hon. Richard J. Beacom (Ret.),"Judge of the Superior Court of California,
  County of Orange",Appointed,"Brown, Jr.",06/07/1976,03/25/1993,Retired,Retirement
Hon. Richard J. Beacom (Ret.),"Judge of the West Orange County Municipal Court, Orange County",Appointed,Reagan,12/01/1972,06/06/1976,Promoted,Elevated
Hon. Elsworth M. Beam (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Appointed,Reagan,03/16/1972,04/30/1990,Retired,Deferred Retirement
Hon. Elsworth M. Beam (Ret.),"Judge of the Long Beach Municipal Court, Los Angeles County",Appointed,Reagan,03/20/1970,03/16/1972,Promoted,Elevated
Hon. J. William Beard (Ret.),"Judge of the El Cajon Municipal Court, San Diego County",Appointed,"Brown, Jr.",05/02/1980,03/25/1990,Retired,Retirement
Hon. J. Michael Beecher (Ret.),"Judge of the Superior Court of California,
  County of Orange",Unification,,08/10/1998,01/02/2003,Retired,Retirement
Hon. J. Michael Beecher (Ret.),"Judge of the West Orange County Municipal Court, Orange County",Appointed,"Brown, Jr.",03/08/1982,08/10/1998,Non-Voluntary,Unification-SCA4
Hon. Dennis L. Beck,"Judge of the Superior Court of California,
  County of Kings",Appointed,"Brown, Jr.",01/02/1983,01/06/1985,Term Ended,
Hon. Richard H. Bein (Ret.),"Judge of the El Cajon Municipal Court, San Diego County",Appointed,Reagan,03/23/1971,10/05/1992,Retired,Deferred Retirement
Hon. Gerald A. Belleci,"Judge of the Superior Court of California,
  County of Contra Costa",Unification,,06/08/1998,11/23/1998,Deceased,
Hon. Gerald A. Belleci,"Judge of the Delta Municipal Court, Contra Costa County",Elected,,01/06/1975,06/08/1998,Non-Voluntary,Unification-SCA4
Hon. John E. Benson (Ret.),"Associate Justice of the Court of Appeal
First Appellate District, Division Two",Appointed,Deukemejian,04/16/1986,04/04/1994,Retired,Retirement
Hon. John E. Benson (Ret.),"Judge of the Superior Court of California,
  County of San Francisco",Appointed,Reagan,04/04/1974,04/16/1986,Promoted,Elevated
Hon. Michael Berg (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Appointed,"Brown, Jr.",01/14/1981,06/05/1998,Retired,Retirement
Hon. Michael Berg (Ret.),"Judge of the Los Angeles Municipal Court District, Los Angeles County",Appointed,"Brown, Jr.",06/05/1978,01/14/1981,Promoted,Elevated
Hon. Jack K. Berman (Ret.),"Judge of the Superior Court of California,
  County of San Francisco",Appointed,"Brown, Jr.",12/10/1982,12/31/1992,Retired,Retirement
Hon. Florence Bernstein (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Appointed,"Brown, Jr.",05/15/1978,04/03/1991,Retired,Retirement
Hon. Florence Bernstein (Ret.),"Judge of the Los Angeles Municipal Court District, Los Angeles County",Elected,,11/01/1976,05/15/1978,Promoted,Elevated
Hon. Richard G. Berry (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Unification,,01/22/2000,10/01/2000,Retired,Retirement
Hon. Richard G. Berry (Ret.),"Judge of the Los Angeles Municipal Court District, Los Angeles County",Appointed,"Brown, Jr.",06/27/1981,01/22/2000,Non-Voluntary,Unification-SCA4
Hon. Hollis G. Best (Ret.),"Associate Justice of the Court of Appeal
Fifth Appellate District",Appointed,Deukemejian,10/04/1984,08/21/1990,Promoted,Elevated
Hon. Hollis G. Best (Ret.),"Presiding Justice of the Court of Appeal
Fifth Appellate District",Appointed,Deukemejian,09/08/1990,02/28/1994,Retired,Retirement
Hon. Hollis G. Best (Ret.),"Judge of the Superior Court of California,
  County of Fresno",Appointed,Reagan,01/05/1973,10/04/1984,Promoted,Elevated
Hon. William L. Bettinelli (Ret.),"Judge of the Superior Court of California,
  County of Sonoma",Appointed,"Brown, Jr.",12/10/1982,01/03/1983,Promoted,Elevated
Hon. William L. Bettinelli (Ret.),"Judge of the Superior Court of California,
  County of Sonoma",Elected,,01/07/1985,01/06/1991,Retired,Retirement
Hon. William L. Bettinelli (Ret.),"Judge of the Sonoma County Municipal Court District, Sonoma County",Appointed,"Brown, Jr.",06/03/1977,12/10/1982,Promoted,Elevated
Hon. William L. Bettinelli (Ret.),"Judge of the Sonoma County Municipal Court District, Sonoma County",Elected,,01/03/1983,01/07/1985,Promoted,Elevated
"Hon. William C. Beverly, Jr. (Ret.)","Judge of the Superior Court of California,
  County of Los Angeles",Appointed,Deukemejian,10/15/1985,08/01/2003,Retired,Retirement
"Hon. William C. Beverly, Jr. (Ret.)","Judge of the Long Beach Municipal Court, Los Angeles County",Appointed,"Brown, Jr.",05/29/1980,10/15/1985,Promoted,Elevated
"Hon. Joseph F. Biafore, Jr. (Ret.)","Judge of the Superior Court of California,
  County of Santa Clara",Appointed,"Brown, Jr.",12/27/1983,12/31/2003,Retired,Retirement
"Hon. Joseph F. Biafore, Jr. (Ret.)","Judge of the Santa Clara County Municipal Court, Santa Clara County",Appointed,"Brown, Jr.",01/01/1977,12/27/1983,Promoted,Elevated
Hon. Henry E. Bianchi (Ret.),"Judge of the Superior Court of California,
  County of Kern",Appointed,"Brown, Jr.",06/30/1981,02/20/1991,Retired,Retirement
Hon. Henry E. Bianchi (Ret.),"Judge of the Bakersfield Municipal Court, Kern County",Appointed,"Brown, Jr.",05/07/1979,06/30/1981,Promoted,Elevated
Hon. Victor E. Bianchini (Ret.),"Judge of the Superior Court of California,
  County of San Diego",Unification,,12/01/1998,06/30/2002,Retired,Retirement
Hon. Victor E. Bianchini (Ret.),"Judge of the El Cajon Municipal Court, San Diego County",Appointed,"Brown, Jr.",08/09/1982,12/01/1998,Non-Voluntary,Unification-SCA4
Hon. John J. Bible (Ret.),"Judge of the Superior Court of California,
  County of San Mateo",Appointed,"Brown, Jr.",05/01/1978,10/31/1992,Retired,Retirement
Hon. Charles Bierschbach (Ret.),"Judge of the Superior Court of California,
  County of San Bernardino",Elected,,01/03/1977,06/11/1987,Retired,Retirement
Hon. M. Ross Bigelow (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Appointed,Reagan,11/16/1973,01/31/1988,Retired,Deferred Retirement
Hon. M. Ross Bigelow (Ret.),"Judge of the Los Cerritos Municipal Court, Los Angeles County",Appointed,Reagan,01/10/1969,11/16/1973,Promoted,Elevated
Hon. Ralph A. Biggerstaff (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Appointed,Reagan,12/04/1972,04/14/1987,Retired,Retirement
Hon. Ralph A. Biggerstaff (Ret.),"Judge of the Compton Municipal Court, Los Angeles County",Appointed,Reagan,04/14/1967,12/04/1972,Promoted,Elevated
Hon. Rose Elizabeth Bird,Chief Justice of California,Appointed,"Brown, Jr.",03/26/1977,01/03/1987,Defeated,
Hon. Eugene R. Bishop (Ret.),"Judge of the Superior Court of California,
  County of Riverside",Appointed,Deukemejian,03/27/1985,03/29/2002,Retired,Retirement
Hon. Eugene R. Bishop (Ret.),"Judge of the Coordinated Courts of Riverside County Palm Springs Branch, Riverside County",Appointed,"Brown, Jr.",10/02/1980,03/27/1985,Promoted,Elevated
Hon. Glenette Blackwell (Ret.),"Judge of the Superior Court of California,
  County of Los Angeles",Unification,,01/22/2000,09/30/2000,Retired,Retirement
Hon. Glenette Blackwell (Ret.),"Judge of the Los Angeles Municipal Court District, Los Angeles County",Appointed,"Brown, Jr.",03/25/1980,01/22/2000,Non-Voluntary,Unification-SCA4
Hon. Albert T. Blanford (Ret.),"Judge of the Ventura County Municipal Court, Ventura County",Appointed,Brown,12/23/1966,09/30/1987,Retired,Retirement
"Hon. Lloyd E. Blanpied, Jr. (Ret.)","Judge of the Superior Court of California,
  County of Orange",Appointed,Reagan,02/01/1972,08/19/1989,Retired,Deferred Retirement
